Date,Product Category,North Region,Central Region,South Region
07-01-2023,Bikes,10,19,25
07-01-2023,Components,14,31,16
07-01-2023,Clothing,35,32,46
07-01-2023,Accessories,13,42,26
07-02-2023,Bikes,47,23,41
07-02-2023,Components,41,36,9
07-02-2023,Clothing,13,14,27
07-02-2023,Accessories,45,21,28
07-03-2023,Bikes,18,24,12
07-03-2023,Components,11,32,18
07-03-2023,Clothing,43,35,35
07-03-2023,Accessories,49,8,15
07-04-2023,Bikes,36,33,43
07-04-2023,Components,16,17,30
07-04-2023,Clothing,15,18,28
07-04-2023,Accessories,34,28,31
07-05-2023,Bikes,16,43,14
07-05-2023,Components,14,32,11
07-05-2023,Clothing,11,25,46
07-05-2023,Accessories,10,21,25
